[2026-06-20T18:45:17Z] FAIL: Sprint directory already exists: /home/dali/WORK/BorneMap/sprints/sprint-001
[2026-06-20T18:45:23Z] OK: Sprint sprint-001 initialized (phase: INGESTION)
[2026-06-20T18:45:29Z] OK: Artifact registered: constitution/constitution.md (sha256: b4069bfd005a...)
[2026-06-20T18:45:30Z] OK: Artifact registered: constitution/guardrails.md (sha256: ff288f977ed1...)
[2026-06-20T18:45:30Z] OK: Artifact registered: constitution/capabilities.md (sha256: 0e47c301459c...)
[2026-06-20T18:45:30Z] OK: Artifact registered: constitution/file_structure.md (sha256: ac35274ef75b...)
[2026-06-20T18:45:30Z] OK: Artifact registered: constitution/delivery_os.md (sha256: 0bd3e711e94e...)
[2026-06-20T18:45:31Z] OK: Artifact registered: constitution/sdec_master_prompt.md (sha256: f9e04dd0b7b4...)
[2026-06-20T18:45:31Z] OK: Artifact registered: docs/architecture.md (sha256: c966e9e4c2ec...)
[2026-06-20T18:45:31Z] OK: Artifact registered: docs/auth-flow.md (sha256: 24742ce90e2d...)
[2026-06-20T18:45:32Z] OK: Artifact registered: docs/api-contracts.md (sha256: 970d6fe73068...)
[2026-06-20T18:45:32Z] OK: Artifact registered: docs/SYSTEM_STATE.md (sha256: 2e04ba8df0cd...)
[2026-06-20T18:45:32Z] OK: Artifact registered: docs/roadmap_status.md (sha256: 4c41a6b5979e...)
[2026-06-20T18:45:33Z] OK: Artifact registered: docs/adr/0001-system-overview.md (sha256: 609c61467f03...)
[2026-06-20T18:45:33Z] OK: Artifact registered: docs/adr/0002-service-boundaries.md (sha256: 23463659f66f...)
[2026-06-20T18:45:33Z] OK: Artifact registered: docs/adr/0003-data-isolation.md (sha256: 301f7036b141...)
[2026-06-20T18:45:34Z] OK: Artifact registered: tools/sprint_engine.sh (sha256: e0b6856b1dac...)
[2026-06-20T18:45:34Z] OK: Artifact registered: tools/reconcile.sh (sha256: a01fc7160875...)
[2026-06-20T18:45:35Z] OK: Artifact registered: tools/ci_guard.sh (sha256: 2b3091910c52...)
[2026-06-20T18:45:35Z] OK: Artifact registered: tools/validate.sh (sha256: 8eb63cc851f2...)
[2026-06-20T18:45:35Z] OK: Artifact registered: tools/sync.sh (sha256: d707c404f9e3...)
[2026-06-20T18:45:36Z] OK: Artifact registered: tools/test_runner.sh (sha256: 621964439aa3...)
